Year_Built,Square_Feet,Lot_Area,Fireplace,Sale_Price
2006,2580,6762,TRUE,193879
2005,3228,11210,FALSE,221500
2006,2996,8990,FALSE,204900
2006,3353,8760,FALSE,239799
2006,3682,13377,TRUE,233555
2005,3160,11645,FALSE,294900
2005,2754,10984,FALSE,209700
2006,2998,15611,TRUE,233230
2006,2588,8581,FALSE,203160
2005,3104,10084,FALSE,212900
2005,2672,8772,FALSE,198000
2005,2250,8846,FALSE,173900
2005,2184,8461,TRUE,163990
2005,2620,8767,TRUE,164990
2005,1619,3675,FALSE,140000
2005,1619,3675,FALSE,142500
2005,3351,5748,TRUE,375000
2005,3688,13618,TRUE,320000
2005,3896,11443,TRUE,369900
2005,3676,11577,TRUE,359900
